Sample,Extract,LocationCode,SiteType,DistanceFromLatrine,qPCR1,qPCR2
CR-LATRINE1-1A,S001-001,CR,Active Latrine,0,1,1
CR-LATRINE1-1A,S001-017,CR,Active Latrine,0,0,1
CR-LATRINE1-1A,S001-033,CR,Active Latrine,0,1,1
CR-LATRINE1-1B,S001-002,CR,Active Latrine,0,1,1
CR-LATRINE1-1B,S001-018,CR,Active Latrine,0,1,1
CR-LATRINE1-1B,S001-034,CR,Active Latrine,0,1,1
CR-LATRINE1-1C,S001-003,CR,Active Latrine,0,1,1
CR-LATRINE1-1C,S001-019,CR,Active Latrine,0,1,1
CR-LATRINE1-1C,S001-035,CR,Active Latrine,0,1,1
CR-LATRINE1-1D,S001-004,CR,Active Latrine,0,1,1
CR-LATRINE1-1D,S001-020,CR,Active Latrine,0,1,1
CR-LATRINE1-1D,S001-036,CR,Active Latrine,0,1,1
CR-LATRINE1-1E,S001-005,CR,Active Latrine,0,1,1
CR-LATRINE1-1E,S001-021,CR,Active Latrine,0,1,1
CR-LATRINE1-1E,S001-037,CR,Active Latrine,0,1,1
CR-LATRINE1-2A,S001-006,CR,Active Latrine,1,0,0
CR-LATRINE1-2A,S001-022,CR,Active Latrine,1,0,0
CR-LATRINE1-2A,S001-038,CR,Active Latrine,1,0,0
CR-LATRINE1-2B,S001-007,CR,Active Latrine,1,1,0
CR-LATRINE1-2B,S001-023,CR,Active Latrine,1,1,0
CR-LATRINE1-2B,S001-039,CR,Active Latrine,1,0,0
CR-LATRINE1-2C,S001-008,CR,Active Latrine,1,0,0
CR-LATRINE1-2C,S001-024,CR,Active Latrine,1,0,0
CR-LATRINE1-2C,S001-040,CR,Active Latrine,1,0,0
CR-LATRINE1-2D,S001-009,CR,Active Latrine,1,0,0
CR-LATRINE1-2D,S001-025,CR,Active Latrine,1,0,0
CR-LATRINE1-2D,S001-041,CR,Active Latrine,1,0,1
CR-LATRINE1-2E,S001-010,CR,Active Latrine,1,1,1
CR-LATRINE1-2E,S001-026,CR,Active Latrine,1,0,0
CR-LATRINE1-2E,S001-042,CR,Active Latrine,1,0,0
GA-LATRINE-1A,S001-012,GA,Active Latrine,0,1,0
GA-LATRINE-1A,S001-028,GA,Active Latrine,0,0,0
GA-LATRINE-1A,S001-044,GA,Active Latrine,0,0,0
GA-LATRINE-1B,S001-013,GA,Active Latrine,1,0,0
GA-LATRINE-1B,S001-029,GA,Active Latrine,1,0,0
GA-LATRINE-1B,S001-045,GA,Active Latrine,1,0,0
GA-LATRINE-2A,S001-014,GA,Active Latrine,0,1,1
GA-LATRINE-2A,S001-030,GA,Active Latrine,0,1,1
GA-LATRINE-2A,S001-046,GA,Active Latrine,0,0,0
GA-LATRINE-2B,S001-015,GA,Active Latrine,1,0,0
GA-LATRINE-2B,S001-031,GA,Active Latrine,1,0,0
GA-LATRINE-2B,S001-047,GA,Active Latrine,1,0,0
MHS2-0-1,S006-H01,MHS2,Active Latrine,0,1,1
MHS2-0-1,S006-H02,MHS2,Active Latrine,0,1,1
MHS2-0-1,S006-H03,MHS2,Active Latrine,0,1,1
MHS2-0-2,S006-A04,MHS2,Active Latrine,0,1,1
MHS2-0-2,S006-A05,MHS2,Active Latrine,0,0,0
MHS2-0-2,S006-A06,MHS2,Active Latrine,0,0,0
MHS2-0-3,S006-B04,MHS2,Active Latrine,0,1,1
MHS2-0-3,S006-B05,MHS2,Active Latrine,0,1,1
MHS2-0-3,S006-B06,MHS2,Active Latrine,0,1,0
MHS2-0-4,S006-C04,MHS2,Active Latrine,0,1,1
MHS2-0-4,S006-C05,MHS2,Active Latrine,0,1,1
MHS2-0-4,S006-C06,MHS2,Active Latrine,0,0,1
MHS2-0-5,S006-D04,MHS2,Active Latrine,0,0,0
MHS2-0-5,S006-D05,MHS2,Active Latrine,0,0,0
MHS2-0-5,S006-D06,MHS2,Active Latrine,0,1,1
MHS2-1 -1,S006-E04,MHS2,Active Latrine,1,1,0
MHS2-1 -1,S006-E05,MHS2,Active Latrine,1,0,0
MHS2-1 -1,S006-E06,MHS2,Active Latrine,1,0,0
MHS2-1 -2,S006-F04,MHS2,Active Latrine,1,1,1
MHS2-1 -2,S006-F05,MHS2,Active Latrine,1,0,0
MHS2-1 -2,S006-F06,MHS2,Active Latrine,1,0,0
MHS2-1 -3,S006-G04,MHS2,Active Latrine,1,0,0
MHS2-1 -3,S006-G05,MHS2,Active Latrine,1,0,1
MHS2-1 -3,S006-G06,MHS2,Active Latrine,1,1,0
MHS2-1 -4,S006-H04,MHS2,Active Latrine,1,0,1
MHS2-1 -4,S006-H05,MHS2,Active Latrine,1,0,0
MHS2-1 -4,S006-H06,MHS2,Active Latrine,1,1,1
MHS2-1 -5,S006-A07,MHS2,Active Latrine,1,0,0
MHS2-1 -5,S006-A08,MHS2,Active Latrine,1,0,1
MHS2-1 -5,S006-A09,MHS2,Active Latrine,1,0,0
MSC-0,S004-G04,MSC_21,Inactive Latrine,0,0,0
MSC-0,S004-G05,MSC_21,Inactive Latrine,0,0,0
MSC-0,S004-G06,MSC_21,Inactive Latrine,0,0,0
MSC-0-1,S004-D01,MSC,Inactive Latrine,0,1,1
MSC-0-1,S004-D02,MSC,Inactive Latrine,0,1,1
MSC-0-1,S004-D03,MSC,Inactive Latrine,0,1,1
